회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
오가노이드사이언스,476040,제약·바이오·의료,2026Q2,2026Q2,2.6,5,최신,원,
M83,476080,통신장비·IT,2026Q2,2026Q2,127.2,8,최신,백만원,
마키나락스,477850,통신장비·IT,2026Q2,2026Q2,147.8,2,최신,백만원,
나라스페이스테크놀로지,478340,방산·항공우주,2026Q2,2026Q2,286.1,3,최신,천원,
씨케이솔루션,480370,기계·플랜트,2026Q2,2026Q2,2533.2,7,최신,백만원,
삼양컴텍,484590,기타,2026Q2,2025Q2,2160.7,1,수주표없음,백만원,
엠앤씨솔루션,484870,반도체·디스플레이 장비,2026Q2,2026Q2,28938.0,7,최신,억원,
노타,486990,통신장비·IT,2026Q2,2026Q2,116.0,3,최신,천원,
케이앤에스아이앤씨,487400,통신장비·IT,2026Q2,2026Q2,340.0,1,최신,천원,
에스투더블유,488280,통신장비·IT,2026Q2,2026Q2,53.5,4,최신,백만원,
비츠로넥스텍,488900,방산·항공우주,2026Q2,2026Q1,657.4,1,수주표없음,백만원,
한화비전,489790,통신장비·IT,2026Q2,2026Q2,133.1,8,최신,백만원,
지에프아이,493330,기계·플랜트,2026Q2,2026Q1,0.8,3,값0/파싱실패,천원,
유비씨,495810,기타,2025Q4,2025Q4,7.8,3,최신,천원,
본시스템즈,496320,기타,2025Q4,2025Q4,12.2,2,최신,천원,
크리스탈신소재,900250,지주·기타,2026Q1,2023Q4,60.2,1,수주표없음,"kg,RMB",
오가닉티코스메틱,900300,지주·기타,2026Q1,,,0,값0/파싱실패,,
컬러레이,900310,지주·기타,2026Q1,2026Q1,36.9,9,최신,RMB,
윙입푸드,900340,지주·기타,2026Q1,,,0,값0/파싱실패,,
프레스티지바이오파마,950210,제약·바이오·의료,2026Q1,2026Q1,12.1,8,최신,USD,
