티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
008490,서흥,유가,기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",19150,8809,167958650,1.11,17002410,5.52,-10.0,-219890.0,2202.0,42127100.0,-2258.0,-43163410.0,-771.0,-14766290.0,0.0,0.0,-334.0,-6364340.0,0.0,0.0,-1000.0,-19120660.0,-153.0,-2912120.0,63.0,1198700.0,3.0,57500.0
007610,선도전기,유가,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",5900,2372444,14363730670,2.97,237633560,1.65,301922.0,1832469265.0,-286865.0,-1742391975.0,-247.0,-1483080.0,-216.0,-1300600.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-182480.0,0.0,0.0,-4482.0,-28670030.0,-10328.0,-59924180.0
136490,선진,유가,동물용 사료 및 조제식품 제조업,조제동물사료,9630,48351,462177655,1.16,24024340,5.2,5065.0,48614140.0,-2332.0,-22605010.0,-2908.0,-27675130.0,69.0,663640.0,0.0,0.0,-1.0,-9520.0,0.0,0.0,-2976.0,-28329250.0,0.0,0.0,175.0,1666000.0,0.0,0.0
014910,성문전자,유가,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",2565,8777292,25599960744,-6.9,9510080,0.04,829293.0,2549943760.0,-848061.0,-2606767396.0,-26.0,511400.0,-26.0,511400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.0,4979325.0,16595.0,51332911.0
014915,성문전자우,KOSPI,기타/미분류,기타/미분류,4910,119932,606118965,-15.2,0,0.0,-296.0,-1500400.0,0.0,0.0,-5.0,-27000.0,-5.0,-27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,982000.0,101.0,545400.0
004980,성신양회,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",8930,56720,507748475,1.02,29126860,3.36,1516.0,13409415.0,2047.0,18524395.0,-3395.0,-30438120.0,-168.0,-1511020.0,0.0,0.0,-22.0,-196460.0,0.0,0.0,-3205.0,-28730640.0,0.0,0.0,0.0,0.0,-168.0,-1495690.0
004985,성신양회우,KOSPI,기타/미분류,기타/미분류,10270,747,7685000,-1.25,0,0.0,-56.0,-574900.0,-105.0,-1102140.0,1.0,10510.0,1.0,10510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1666530.0
000180,성창기업지주,유가,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",5230,6811,35339890,0.77,390790,1.11,-1462.0,-7505850.0,1486.0,7682000.0,-24.0,-176150.0,-24.0,-176150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002420,세기상사,유가,연료 소매업,"극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",5530,17526,96674540,0.0,0,0.0,3027.0,16560660.0,-3208.0,-17615220.0,165.0,962940.0,165.0,962940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,91620.0
004360,세방,유가,도로 화물 운송업,"도로운송,항만하역,창고,지게차 임대",13570,26336,358164870,0.0,29441920,6.21,-952.0,-13260430.0,1743.0,24038720.0,-773.0,-10534030.0,144.0,1951160.0,0.0,0.0,-630.0,-8578100.0,0.0,0.0,0.0,0.0,-287.0,-3907090.0,0.0,0.0,-18.0,-244260.0
