티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
004440,삼일씨엔에스,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 강교, PC",5800.0,31069.0,180788400.0,-2.52,5043180.0,2.79,-223.0,-895960.0,147.0,443330.0,-52.0,-301600.0,-52.0,-301600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,836380.0,-14.0,-82150.0,0.0,0.0,0.0
000520,삼일제약,유가,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",10030.0,1371645.0,14021616020.0,3.3,200955630.0,1.43,-143742.0,-1510385100.0,143735.0,1501541375.0,-2406.0,-14771785.0,-63.0,8901990.0,0.0,0.0,-2305.0,-23289910.0,0.0,0.0,0.0,0.0,-38.0,-383865.0,2569.0,25294380.0,-156.0,-1678870.0,0.0,0.0,0.0
009770,삼정펄프,유가,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",32450.0,3736.0,121830450.0,-0.61,938050.0,0.77,990.0,32119900.0,-651.0,-21156850.0,-304.0,-9809800.0,-304.0,-9809800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-1153250.0,0.0,0.0,0.0,0.0,0.0
005500,삼진제약,유가,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",19290.0,23534.0,454952020.0,-0.98,15987510.0,2.85,-2881.0,-56135010.0,2551.0,49704840.0,225.0,4404570.0,746.0,14492140.0,-292.0,-5665400.0,-121.0,-2337230.0,0.0,0.0,0.0,0.0,-108.0,-2084940.0,105.0,2025600.0,0.0,0.0,0.0,0.0,0.0
004690,삼천리,유가,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,143600.0,37260.0,5265206500.0,4.06,127603400.0,1.69,-6916.0,-975936100.0,5489.0,772581400.0,2208.0,312699300.0,1911.0,269273200.0,-150.0,-21452050.0,345.0,49473100.0,0.0,0.0,360.0,51128450.0,-27.0,-3855700.0,-742.0,-103772200.0,-39.0,-5572400.0,0.0,0.0,0.0
010960,삼호개발,유가,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",3745.0,79766.0,297702348.0,-1.19,434420.0,0.15,20003.0,74686770.0,-20130.0,-75162515.0,-194.0,-726130.0,-112.0,-419440.0,0.0,0.0,-43.0,-161255.0,0.0,0.0,0.0,0.0,-39.0,-145435.0,343.0,1284265.0,-22.0,-82390.0,0.0,0.0,0.0
004450,삼화왕관,유가,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",28450.0,1260.0,35799500.0,0.0,199150.0,0.56,6.0,170750.0,1.0,28400.0,-7.0,-199150.0,-7.0,-199150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009470,삼화전기,유가,전자부품 제조업,"콘덴서 제조,판매",54500.0,770299.0,42210475750.0,5.83,115171700.0,0.27,-43034.0,-2261986250.0,13726.0,668819400.0,30894.0,1685381300.0,-51.0,-2748400.0,1228.0,66684150.0,185.0,10553150.0,0.0,0.0,0.0,0.0,29532.0,1610892400.0,-508.0,-34002000.0,-1078.0,-58212450.0,0.0,0.0,0.0
011230,삼화전자공업,유가,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",2915.0,165965.0,486216050.0,-2.18,4729895.0,0.97,35645.0,104674650.0,-35571.0,-104458320.0,-69.0,-201135.0,-69.0,-201135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,983230.0,-342.0,-998425.0,0.0,0.0,0.0
001820,삼화콘덴서공업,유가,전자부품 제조업,콘덴서(축전기) 제조,31600.0,97371.0,3085734125.0,-1.1,173767400.0,3.94,20838.0,659783000.0,-20567.0,-651227200.0,-562.0,-17745600.0,-50.0,-1578900.0,-342.0,-10789150.0,-89.0,-2814000.0,0.0,0.0,0.0,0.0,-81.0,-2563550.0,91.0,2880150.0,200.0,6309650.0,0.0,0.0,0.0
000390,SP삼화,유가,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",6960.0,507962.0,3527221290.0,1.02,49854810.0,1.41,117952.0,817678345.0,-114696.0,-794827535.0,-612.0,-4262510.0,-131.0,-921100.0,-25.0,-173630.0,-234.0,-1628095.0,0.0,0.0,0.0,0.0,-222.0,-1539685.0,-2540.0,-17866600.0,-104.0,-721700.0,0.0,0.0,0.0
001290,상상인증권,유가,금융 지원 서비스업,유가증권 매매,751.0,10832404.0,8553576139.0,-3.72,4955354.0,0.06,-202148.0,-102135149.0,201245.0,101550789.0,3.0,2253.0,3.0,2253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,872890.0,-256.0,-290783.0,0.0,0.0,0.0
041650,상신브레이크,유가,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",2745.0,48921.0,134484462.0,-1.26,24284265.0,18.06,11513.0,31722692.0,-10208.0,-28117550.0,-961.0,-2660840.0,-922.0,-2553710.0,-39.0,-107130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344.0,-944302.0,0.0,0.0,0.0
075180,새론오토모티브,유가,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",3120.0,1260.0,3940105.0,-0.16,280800.0,7.13,507.0,1585825.0,-20.0,-62620.0,-487.0,-1523205.0,-454.0,-1420245.0,0.0,0.0,-33.0,-102960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007540,샘표,유가,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",49000.0,10873.0,529875200.0,0.72,4111450.0,0.78,-2350.0,-115280600.0,2223.0,109114000.0,102.0,4961600.0,-87.0,-4241050.0,-3.0,-145650.0,-6.0,-294300.0,0.0,0.0,0.0,0.0,198.0,9642600.0,25.0,1205000.0,0.0,0.0,0.0,0.0,0.0
248170,샘표식품,유가,기타 식품 제조업,간장,29950.0,18762.0,559676850.0,0.0,599000.0,0.11,-1029.0,-30882850.0,687.0,20624900.0,-1049.0,-31188300.0,-24.0,-719050.0,-5.0,-149150.0,-20.0,-599850.0,0.0,0.0,-1000.0,-29720250.0,0.0,0.0,1291.0,38446250.0,100.0,3000000.0,0.0,0.0,0.0
007860,서연,유가,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",10660.0,292499.0,3119967860.0,1.43,98798440.0,3.17,39174.0,416608410.0,-40613.0,-431843975.0,-500.0,-5330795.0,-115.0,-1226280.0,-21.0,-224275.0,-188.0,-2005205.0,0.0,0.0,0.0,0.0,-176.0,-1875035.0,0.0,-3250.0,1939.0,20569610.0,0.0,0.0,0.0
200880,서연이화,유가,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,15070.0,289366.0,4404823940.0,-0.86,507475140.0,7.33,17781.0,274149370.0,-31079.0,-476213200.0,13115.0,199206930.0,367.0,5531060.0,-20.0,-304100.0,-1115.0,-16904560.0,0.0,0.0,14082.0,213891940.0,-199.0,-3007410.0,-11.0,-166540.0,194.0,3023440.0,0.0,0.0,0.0
