Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
기타 화학제품 제조업,24348269,325716594286,30563484353,-663083.0,24678880444.0,932065.0,-8630784841.0,-128847.0,-15477509445.0,-17882.0,-8631303420.0,-312.0,-58337200.0,-58784.0,-4008540260.0,-853.0,-119192440.0,-16676.0,-4865143425.0,-31492.0,2229656640.0,-148280.0,-663703912.0,8145.0,93117754.0,95
기타/미분류,38351069,807099300117,3579822790,451818.0,-77816371613.0,2230633.0,74387986715.0,-2670374.0,2555838508.0,295358.0,4182026148.0,-86467.0,-307970120.0,-2851240.0,-39476518365.0,-487.0,-8926825.0,76781.0,28772346930.0,-80060.0,11555424990.0,5177.0,2317083045.0,-17254.0,-1444536655.0,162
나무제품 제조업,51446,405233420,33876780,-5110.0,-52396505.0,-7233.0,-56386170.0,12247.0,107945375.0,12246.0,107936555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-38700.0,100.0,876000.0,2
"내화, 비내화 요업제품 제조업",331306,814002703,6293959,-36257.0,-1507194.0,54476.0,54495146.0,1825.0,8578800.0,1428.0,5893760.0,0.0,0.0,224.0,1505010.0,0.0,0.0,0.0,0.0,173.0,1180030.0,-22284.0,-64480107.0,2240.0,2913355.0,5
담배 제조업,166353,23973931700,947206300,38202.0,5503190200.0,45145.0,6493736250.0,-83488.0,-12017225250.0,7653.0,1100540700.0,-2842.0,-408586800.0,-6918.0,-996312850.0,-14.0,-2018050.0,-83619.0,-12036148100.0,-52.0,-6848250.0,122.0,17564600.0,19.0,2734200.0,1
도로 화물 운송업,1479269,16356518904,615189000,-80888.0,105130665.0,84008.0,817950018.0,-8407.0,-976048313.0,-11750.0,-1126991533.0,-880.0,-82655700.0,2249.0,193926170.0,0.0,0.0,698.0,-74639270.0,833.0,71999320.0,5592.0,55082790.0,-305.0,-2115160.0,7
도시락 및 식사용 조리식품 제조업,2254661,31817900005,20259270,-13296.0,-136442735.0,18649.0,213622630.0,0.0,-260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.0,0.0,0.0,-3653.0,-52045625.0,-1700.0,-25134010.0,1
"도축, 육류 가공 및 저장 처리업",1384772,3283674517,88399474,249233.0,713845637.0,-207963.0,-618318387.0,-23184.0,-49667652.0,-24223.0,-52484852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,2817200.0,-26786.0,-69720452.0,8700.0,23860854.0,7
동·식물성 유지 및 낙농제품 제조업,56508,3703610835,305100150,8192.0,500735410.0,-9000.0,-571579250.0,1098.0,82216290.0,690.0,46305340.0,-47.0,-3621150.0,823.0,43203800.0,0.0,0.0,-400.0,-6021600.0,32.0,2349900.0,-111.0,-1394150.0,-179.0,-9978300.0,4
동물용 사료 및 조제식품 제조업,13589035,39688359450,125562426,27783.0,437803243.0,-176352.0,-505617332.0,-24681.0,-219565100.0,15514.0,-6642140.0,-34613.0,-205203750.0,-306.0,-1228790.0,0.0,0.0,-8000.0,-22572500.0,2724.0,16082080.0,162093.0,250143988.0,11157.0,37235201.0,10
"떡, 빵 및 과자류 제조업",18482,166047030,296960,1328.0,11948180.0,-28.0,-263720.0,-1230.0,-11054460.0,-774.0,-6957410.0,-240.0,-2156340.0,0.0,0.0,0.0,0.0,0.0,0.0,-216.0,-1940710.0,0.0,0.0,-70.0,-630000.0,1
마그네틱 및 광학 매체 제조업,475015,864801357,1675736,-18125.0,-32854483.0,17922.0,32497218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,644597.0,-158.0,-287332.0,1
무기 및 총포탄 제조업,698647,40390264568,1322308530,41494.0,4351977740.0,-18607.0,1237870830.0,-32473.0,-6177216995.0,-14874.0,-1154121100.0,-6682.0,-40108210.0,4195.0,-75834145.0,0.0,0.0,-505.0,-199875250.0,-14604.0,-4706110790.0,6973.0,518005530.0,2613.0,69362895.0,3
무점포 소매업,960098,1969683758,38873045,-131989.0,124262585.0,126417.0,-91991450.0,-591.0,-34329340.0,228.0,11311810.0,-452.0,-25099850.0,43.0,2375300.0,-442.0,-24695700.0,0.0,0.0,32.0,1779100.0,-2509.0,-3446160.0,8672.0,5504365.0,5
반도체 제조업,36427110,3027610086474,18088463631,-4039351.0,-1007921029899.0,3140602.0,801313854337.0,1635435.0,206531381849.0,1245567.0,181940637662.0,3288.0,-6106400065.0,81215.0,-31769202208.0,-1.0,-596000.0,172801.0,16415319450.0,152059.0,57873900165.0,-778065.0,220984921.0,41379.0,-145191208.0,72
방적 및 가공사 제조업,41331,559256540,13778440,-1574.0,-1406920.0,-416.0,-23455650.0,3068.0,38352270.0,3499.0,43736570.0,0.0,0.0,91.0,1145690.0,-648.0,-8115070.0,0.0,0.0,126.0,1585080.0,-1078.0,-13489700.0,0.0,0.0,2
