티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
339770,52427,49965080,221766210,211352288400.0,0.1,KOSPI
007690,0,9260832,0,289401000000.0,0.0,KOSPI
002720,113543,21159832,376962760,70250642240.0,0.54,KOSPI
083420,181819,24000000,815458215,107640000000.0,0.76,KOSPI
014530,0,34869420,0,115417780200.0,0.0,KOSPI
014280,269369,29329357,1099025520,119663776560.0,0.92,KOSPI
014285,0,589875,0,3556946250.0,0.0,KOSPI
008870,0,1000000,0,41050000000.0,0.0,KOSPI
001570,77613,63967196,768368700,633275240400.0,0.12,KOSPI
002990,0,37259974,0,136930404450.0,0.0,KOSPI
002995,0,292266,0,3460429440.0,0.0,KOSPI
011780,76599,25157325,9253159200,3039004860000.0,0.3,KOSPI
011785,0,3023486,0,156314226200.0,0.0,KOSPI
214330,0,20913859,0,53434909745.0,0.0,KOSPI
001210,0,61880083,0,30568761002.0,0.0,KOSPI
073240,1089126,287260287,5069881530,1337196635985.0,0.38,KOSPI
092440,0,29200000,0,55100400000.0,0.0,KOSPI
000270,20045,390412998,3293393500,64144855571400.0,0.01,KOSPI
024110,1064568,797425869,21876872400,16387101607950.0,0.13,KOSPI
013700,0,59750830,0,67339185410.0,0.0,KOSPI
004540,207196,37240693,335864716,60367163353.0,0.56,KOSPI
004545,0,366160,0,3471196800.0,0.0,KOSPI
001260,33552,9832572,245600640,71974427040.0,0.34,KOSPI
008350,1719732,129079090,2206416156,165608472470.0,1.33,KOSPI
008355,0,307890,0,3085057800.0,0.0,KOSPI
004270,0,3621216,0,25529572800.0,0.0,KOSPI
003920,4679,6000000,205174150,263100000000.0,0.08,KOSPI
003925,0,2000000,0,65000000000.0,0.0,KOSPI
025860,371881,49678843,2320537440,309995980320.0,0.75,KOSPI
005720,0,52543977,0,320518259700.0,0.0,KOSPI
005725,0,3600600,0,15482580000.0,0.0,KOSPI
002350,0,97667877,0,687581854080.0,0.0,KOSPI
002355,0,6500000,0,25935000000.0,0.0,KOSPI
092790,243680,26002000,3389588800,361687820000.0,0.94,KOSPI
251270,174350,81934571,7078610000,3326543582600.0,0.21,KOSPI
090350,30417,20000000,225085800,148000000000.0,0.15,KOSPI
090355,0,463126,0,5094386000.0,0.0,KOSPI
000320,0,13291151,0,224620451900.0,0.0,KOSPI
000325,0,243559,0,6746584300.0,0.0,KOSPI
006280,126886,11686538,15645043800,1440950135400.0,1.09,KOSPI
005250,721579,47028210,7121984730,464168432700.0,1.53,KOSPI
005257,0,845990,0,17173597000.0,0.0,KOSPI
004370,62854,6082642,23570250000,2280990750000.0,1.03,KOSPI
072710,21660,4637790,1925574000,412299531000.0,0.47,KOSPI
058730,153884,19948221,364705080,47277283770.0,0.77,KOSPI
030210,54769,60911106,195525330,217452648420.0,0.09,KOSPI
023590,100973,43287312,3766292900,1614616737600.0,0.23,KOSPI
145210,0,42236668,0,9461013632.0,0.0,KOSPI
483650,302350,12469165,59925770000,2471388503000.0,2.42,KOSPI
019680,96252,84702850,110593548,97323574650.0,0.11,KOSPI
019685,0,19426990,0,14667377450.0,0.0,KOSPI
006370,0,10821611,0,53945730835.0,0.0,KOSPI
008060,32921,31287098,638996610,607282572180.0,0.11,KOSPI
00806K,0,1212357,0,14827126110.0,0.0,KOSPI
353200,13700,49416925,2090620000,7541022755000.0,0.03,KOSPI
