Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
기타 정보 서비스업,1693808.0,5743784386.0,307329985.0,-284359.0,-897963785.0,294732.0,840404571.0,11050.0,81715555.0,7504.0,42101125.0,13.0,179340.0,1786.0,15341270.0,0.0,0.0,1747.0,24093820.0,0.0,0.0,-21788.0,-24319353.0,365.0,163012.0,19
기타 종이 및 판지 제품 제조업,499288.0,1795008244.0,14369229.0,-49035.0,-130511071.0,90471.0,288810272.0,-35242.0,-133611136.0,258.0,1465377.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500.0,-3531153.0,-33000.0,-131545360.0,-6191.0,-24757385.0,-3.0,69320.0,3
기타 화학제품 제조업,12541112.0,369246263640.0,42475885197.0,-938885.0,-28695374985.0,689166.0,56854442232.0,181963.0,-26710065866.0,216372.0,9228712924.0,11458.0,228242530.0,-51243.0,-23099024580.0,83.0,900180.0,31599.0,-3527759465.0,9754.0,-9774145675.0,4404.0,-1428904867.0,63352.0,-20096514.0,95
기타/미분류,6024587.0,812618593687.0,5456774310.0,-747212.0,-108843768648.0,662638.0,112846811076.0,72844.0,-2278097258.0,61658.0,13416788072.0,-2338.0,-796979555.0,-4004.0,-6817869010.0,0.0,0.0,44725.0,4304250160.0,-26660.0,-12365203825.0,12798.0,-1342225725.0,-1068.0,-382719445.0,113
나무제품 제조업,117252.0,689712515.0,41331265.0,-41878.0,-252676965.0,27612.0,166436655.0,14256.0,86340700.0,14243.0,86260100.0,0.0,0.0,13.0,80600.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,-33920.0,-11.0,-66470.0,2
"내화, 비내화 요업제품 제조업",461028.0,2064036215.0,39707182.0,-156750.0,-706157543.0,163069.0,734862943.0,-7528.0,-32677385.0,-6232.0,-23339945.0,-828.0,-5892820.0,-468.0,-3444620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4365.0,1208.0,3967620.0,7
담배 제조업,333319.0,58744001200.0,1472077000.0,13555.0,2357294950.0,41808.0,7146971550.0,-57412.0,-9861649200.0,24484.0,4448617200.0,-4318.0,-761960800.0,-48966.0,-8534311350.0,0.0,0.0,-27162.0,-4759306450.0,-1450.0,-254707300.0,1999.0,348711100.0,50.0,8671600.0,1
도로 화물 운송업,278847.0,5609895441.0,404592311.0,-27368.0,-1113709640.0,28131.0,418301417.0,13628.0,1085321078.0,1394.0,247382838.0,-271.0,-6866330.0,-1285.0,-74462480.0,0.0,0.0,13822.0,921655050.0,-32.0,-2388800.0,-2178.0,-165000885.0,-12213.0,-224911970.0,7
도시락 및 식사용 조리식품 제조업,4682.0,29195180.0,355760.0,-567.0,-3526900.0,-119.0,-793880.0,-146.0,-903740.0,-146.0,-903740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,5224520.0,0.0,0.0,1
"도축, 육류 가공 및 저장 처리업",919994.0,2059415182.0,53422677.0,-277731.0,-637688200.0,301346.0,696312098.0,-15830.0,-35320612.0,-15830.0,-35320612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9455.0,-27610324.0,1670.0,4307038.0,9
동·식물성 유지 및 낙농제품 제조업,47854.0,2141065435.0,326052710.0,311.0,-9933870.0,1798.0,162155820.0,-1684.0,-124332550.0,-3003.0,-175623350.0,-102.0,-6729900.0,1425.0,58284700.0,0.0,0.0,0.0,0.0,-4.0,-264000.0,-46.0,-1883450.0,-379.0,-26005950.0,4
동물용 사료 및 조제식품 제조업,1545258.0,4539838685.0,157631081.0,-266493.0,-922310236.0,282463.0,963350117.0,-11200.0,-34762556.0,-13620.0,-57041142.0,-174.0,-1701850.0,-97.0,-948340.0,0.0,0.0,2524.0,24869180.0,167.0,59596.0,-4460.0,-9317980.0,-310.0,3040655.0,10
"떡, 빵 및 과자류 제조업",11255.0,93578190.0,2852920.0,1383.0,11500600.0,-1336.0,-11110110.0,-47.0,-390490.0,-47.0,-390490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
