티커,종가,시가총액,거래량,거래대금,상장주식수
002810,22050,407196203400,17726,389756225,18466948
348340,17240,403561229760,533776,9075508925,23408424
104830,32000,403456000000,40426,1278311075,12608000
008730,16260,403248000000,43280,702668545,24800000
003000,4080,402551857680,348392,1420544376,98664671
013030,34200,402470524800,22874,781376850,11768144
344820,25050,400061325600,6147,154015875,15970512
078130,3530,397974272110,51913,181012235,112740587
357120,4075,396641567550,167256,678946684,97335354
125490,10860,396415542720,2948968,32582401910,36502352
005420,10310,395988830680,75746,786159345,38408228
441270,9350,394616114200,1978122,18465211220,42204932
064260,5200,393356376400,3718430,19681297730,75645457
078340,32400,391758541200,148025,4849316900,12091313
130660,12000,391200000000,290137,3463409700,32600000
950210,6500,390625007500,39266,248345890,60096155
042000,16120,389752084280,29105,468525810,24178169
271940,10720,389277396800,23964,256206600,36313190
029530,40000,388629160000,1813,72860850,9715729
183190,10790,388205554880,47160,503455210,35978272
095660,17910,387508980690,37217,664217520,21636459
368770,11750,386037143750,57866,680603320,32854225
486990,18040,385919437200,155293,2794640365,21392430
027360,3185,385848118110,1503544,4754690645,121145406
001940,27200,385597536000,4233,112457350,14176380
015360,14080,383680000000,7440,104995930,27250000
144960,8760,382747386240,535321,4683770255,43692624
241770,37450,381714368000,5854,218502425,10192640
219130,60400,381383116000,34331,2079533500,6314290
006220,10070,380631468990,296541,2997892725,37798557
089590,4715,380222244275,371455,1747098419,80640985
194370,13100,380119529800,46428,604651810,29016758
170920,35950,379780329700,216738,7568635350,10564126
204620,5390,378827148700,475990,2560007515,70283330
475960,28100,378680489400,33765,937294850,13476174
114810,13350,375711372900,218892,2886820530,28143174
187660,5850,374202580050,4098447,20219025436,63966253
